id	name	category	price	originalPrice	link	description	badge	storage	SKU1	Color1	Imagen1	Hex1	SKU2	Color2	Imagen2	Hex2	SKU3	Color3	Imagen3	Hex3	SKU4	Color4	Imagen4	Hex4	SKU5	Color5	Imagen5	Hex5
26	Galaxy Tab S10 Ultra Wi-Fi + Keyboard Cover + S Pen	tablets	13283	0	https://samsung.com.bo/tablets/galaxy-tab-s/galaxy-tab-s10-ultra-gray-256gb-sm-x920nzadbvo	Pantalla 14.6 Dynamic AMOLED 2x, cuerpo de 718g y resistencia IP68.		["256GB", "RAM 12GB"]	SM-X920NZADBVO	Gray	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_ak0VR2Sfu7AGJmtyDW81.png	#606e81																
27	Galaxy Tab S9 5G + S Pen	tablets	11319	0	https://samsung.com.bo/tablets/galaxy-tab-s/galaxy-tab-s9-graphite-256gb-sm-x716bzaebvo	Pantalla Dynamic AMOLED 2X, Vision Booster y procesador Snapdragon 8 Gen 2.		["256GB", "RAM 12GB"]	SM-X716BZAEBVO	Graphite	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_a47qwBkQmGSDLxrnHbl2.png	#545356																
28	Galaxy Tab S8 Ultra Wi-Fi + Keyboard Cover + S Pen	tablets	9702	0	https://samsung.com.bo/tablets/galaxy-tab-s8-ultra	Pantalla 14.6 Super AMOLED, doble cámara frontal 12MP y batería 11200mAh.		["256GB", "RAM 12GB"]	SM-X900NZADBVO	Graphite	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/original/product-family-item-image-image_r9kBXbZ7EHPeI415nwMF.png	#494d53																
29	Galaxy Tab S8 Ultra 5G + Keyboard Cover + S Pen	tablets	10857	0	https://samsung.com.bo/tablets/galaxy-tab-s/galaxy-tab-s8-ultra-5g-graphite-256gb-sm-x906bzadbvo	Pantalla masiva 14.6 sAMOLED, conectividad 5G, doble cámara frontal y batería 11200mAh.		["256GB", "RAM 12GB"]	SM-X906BZADBVO	Graphite	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_Ym12EgZftRjDsOCp9o6i.png	#494d53																
30	Galaxy Tab S10 FE+ Wi-Fi + Cover + S Pen	tablets	7854	0	https://samsung.com.bo/tablets/galaxy-tab-s/galaxy-tab-s10-ultra-gray-256gb-sm-x920nzadbvo	Pantalla masiva de 13.1, resistencia al agua IP68 y S Pen Creator incluido.		["128GB", "RAM 8GB"]	SM-X620NZSABVO	Silver	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_2k8sHTFRoQNY0nq694dh.png	#c0c0c0																
31	Galaxy Tab S10 Lite 5G + Cover + S Pen	tablets	4851	0	https://samsung.com.bo/tablets/galaxy-tab-s/galaxy-tab-s10-lite-gray-128gb-sm-x406bzadbvo/	Pantalla con Low Blue Light, soporte MicroSD hasta 2TB y diseño ligero.		["128GB", "RAM 6GB"]	SM-X406BZADBVO	Gris	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_WxlKTwnyCDmuqzFNbOEc.png	#75787b	SM-X406BZSDBVO	Plata	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_YPRKew7SFfbTnNE3GDa9.png	#c7c8ca	SM-X406BZRDBVO	Rojo	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_F4sSOyLpDUMgr6HGaw3I.png	#d85f67								
32	Galaxy Tab S6 Lite + S Pen	tablets	3869	0	https://samsung.com.bo/tablets/galaxy-tab-s/galaxy-tab-s6-lite-10-4-inch-gray-64gb-wi-fi-sm-p625nzaabvo	Diseño metálico 10.4, S Pen magnético, One UI y sonido AKG.		["64GB", "RAM 4GB"]	SM-P615NZAUBVO	Gray	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_cK7fN9BtLdoA2XSxZHq4.png	#75787b	SM-P615NZBUBVO	Blue	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_rGWjUgBOQyw5XtRuT7YS.png	#3355e7	SM-P615NZIUBVO	Pink	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_igG8kdDq4CZSXIHA2pjU.png	#ffc6f4	SM-P625NLGABVO	Mint	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_5Z28sUpEyXz4AHDa0CmG.png	#d2deda	SM-P625NZAABVO	Dark Gray	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_8UeMwWFrhqJCBcOYvGgx.png	#312e31
33	Galaxy Tab A9+ 5G	tablets	2714	0	https://samsung.com.bo/tablets/galaxy-tab-a/galaxy-tab-a9-plus-5g-gray-64gb-sm-x216bzaabvo	Gran pantalla envolvente, cámara versátil y un diseño elegante para tu entretenimiento diario.		["64GB", "RAM 4GB"]	SM-X216BZAABVO	Gray	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_GVSg1FfkhnQMwBlorKJP.png	#2a3244																
34	Galaxy Tab A9	tablets	1386	0	https://samsung.com.bo/tablets/galaxy-tab-a/galaxy-tab-a9-wifi-mystic-navy-128gb-sm-x115nzael12	Sumérgete en la Galaxy Tab A9: pantalla compacta, sonido Dolby Atmos, rendimiento fluido y diseño metálico portátil.		["128GB", "RAM 8GB"]	SM-X115NZAEL12	Gray	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_wOeUva34LZ5by708tVNP.png	#2a3244																
35	Galaxy Watch8 44mm	smartwatches	3696	0	https://samsung.com.bo/galaxy-watch/galaxy-watch8-44mm-silver-bluetooth-sm-l330nzsalta	Diseño ultra delgado, procesador de 3nm, sensor BioActive avanzado y GPS de doble frecuencia.			SM-L330NZSALTA	Silver	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_Cni83qS4IomVYGdFb7P6.png	#c7c8ca	SM-L330NDAALTA	Graphite	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_s9BzxhCL0tVck1wQNfuA.png	#5b6166												
